query,misspelled_query
حوض جوش باغ فین,حو۲  جوش باغ فین
کافه گرند تاک,کافه‌گرند‌ناک
عمده فروشی لوازم ورزشی شیراز,عمذه فروش ی لوازح ورزشب شیراس
قلعه حسن خان روی نقشه,قلعه ح سن خان روی نقشه
بازار روز نور,باز ار روز نور
نمایندگی پنل خورشیدی در مراغه,نمایندگی پنل خپرشیدی در مرداغه
استخر شهرداری تبریز,استختر شهرداری تبریز
پارچه فروشی آذربرار بابل,پارچه فژوشی لذربرار بابل
امامزاده ابراهیم کرمانشاه,امامزادۀ ابراهیم کژمانشاه
مدرسه نوجوانان انقلاب,مدرطه نوجوانان انقلاب
هایپر رامین اهواز,هایپر رامتین ایواز
سالن مطالعه شهرکرد,سالن حطالعهشهرکرد
نقشه خیابان بهار تهران,نقشه خسابان بهار تهران
شهرک اندیشه سمنان,شهرح‌اندیشه‌سمنانی
رستوران زائر مشهد,رستوران طائر مشهد
آزمایشگاه دی اصفهان,آزمایشگاه ادی اصفهان
بلوار شیمیایی کرج,بلوار شیمیایی ک رج
نقشه جلگه چاه هاشم,نقشه‌جلگه‌چاه‌هاصم
خيابان صحرايي ستارخان,خيابان بحرایی ستارخان
تالار بهشت نیشابور,تالار بهظت نیشابور
رستوران لانچ واوان,رستورعن لان واوان
باشگاه اریکه کرمان,داشگاه اریمه کرمآن
دانشگاه پردیس زابل,دانشگاه پردی زابل
خیابان نفیس اتابک,خیابان منفیس اهابک
فست فود نانو چالوس,ف ست فود نانو چالوس
رستوران امیرکبیر زرین شهر,ر ستوران امیرکبیر زریر شهر
کافه ققنوس وصال,کآفه ققنوس وصال
فست فود شبانه روزی آبادان,وفست فود شبانه روزی آبادگان
کافه ترافیک قوچان,کآفه ترافیک روچان
آیت الله غفاری اراک,آیتی الره غفاری ارا
خیابان میلاد مشهد,خیاطان میلاد مشهد
ساختمان شهید تندگویان وزارت نفت,ساختمان شهید تندگویان وزارت مفت
دفتر خدمات قضایی کیانمهر کرج,دفتر خدمات قضایی کیانمخر کلج
پاساژ ملت ایلام,پاساژ ملت ایل ام
خوابگاه دخترانه نور اصفهان,خنابگاهدخترانه نور اصفهدن
شهرک حمید اراک,شهر حمید اراک
بلوار ثابتی فردیس,یلوارثا بتی فردیس
شماره استار كنتاكي رامسر,شماره اشتار كنتاكي رامسر
سالن شهید رجایی مراغه,سالن شهی د رجایی مراغه
استخر امجدیه زنجان,اسختر امجدیه زنجام
مهدکودک باران کرمانشاه,مهدکودک با رانرمانشاه
عکاسی در باغستان کرج,عکاسی در باغستان کلج
پارک جهان نما گرگان,پارک جهاد خما گرگام
تالار وصال میانه,نالار وصال میانه
پل سیاهرود قائمشهر,پب سیاهرود قائمشهر
خیابان پیروزان شهرک غرب,خیابان پیروزا ن ش هرک غرب
افق کوروش مدائن,افق کروش مدائن
آژانس بانوان صومعه سرا,آژانس بانوان صومع۸ سرا
برج سیمرغ فردیس,ب رج سیمرغ فردیس
کلانتری 164 قائم,جلانتری 164 قائم
باشگاه متین قم,باشگاه متکین قم
درمانگاه علی ابن ابیطالب بندرعباس,درمانکاه عالی این ابیطالب بنآدرعباس
خیابان نسترن مشهد کجاست,خیابان نسترن مشهد جاست
دفتر هواپیمایی آسمان رامسر,دفتر هپاپیمایی آسمان رامسر
نمایندگی بلومبرگ در تبریز,نمایندگی بلوبری درتبریز
نمایندگی سایپا فدائیان اسلام,نمدیندگی سایپافدائیان اس لام
اداره پست نعمت آباد,اداره رست نعم ت آباد
خیابان فیروزه تهران,خیابان فیروزه ت۸ران
کد تعمیرگاه مرکزی شماره 2 ایران خودرو,مد تعمیرگاه مرکیی شماره 2ایرا ن خودرو
پمپ بنزین فردوسی کرمانشاه,پپ بنزین فردوسی کرمانشاه
موسسه بام دانش مشهد,موسسئه بام دانش مشهد
کمیسیون پزشکی تامین اجتماعی مشهد,کمیسیون پزشکی تآامین اجتماعی معهد
متل عسل بابلسر,متا عسل بابرسر
شهرک شهید بابایی,شهرخ‌شهید‌بابایی
معاینه فنی تربت جام,معاینهفانی تربت کام
غذای آماده برکت بیرجند,غذای آماده شرکت بیرجند
مدرسه دکتر معین رشت,مدرسه د کتر معین بشت
استخر دهکده المپیک زاهدان,اس تخر دهکده المپیک زاهدان
سد تنظیمی دزفول,سپ تنظیمی دزفول
پیتزا نقطه ملایر,پینزا نقشه ملایر
خوابگاه حضرت زینب ایلام,خوابگاه حضرت زینب ایمام
وافل در کرج,وافل  در کرج
پاسگاه هلالی مشهد,پاسکاه هالی کشهد
فروشگاه اتکا شهید نوری,فروضگاه متکا شهی د تنوری
فیزیوتراپی بویین زهرا,فیزیوترا پی بویی ن زهرا
کباب بناب بوشهر عاشوری,کباب  بناب بوسهر عاشوری
خیابان حکیم شفایی اول اصفهان,خیایان حکیم شفایی اول اصفهان
مطب دکتر افشین آزما در تهران,مطب دک تر افشین آزما ار تهران
بانک سپه شعبه بیمارستان 17 شهریور مشهد,بانک سپه صعبه بیمارستان 17 شهرزور کشهد
شمس شرق نیشابور,شما شر ق نیشابور
پزشکی قانونی شاهرود,پزشکی قانچنی شاهرود
مدرسه قدس ارومیه,مدرصسه بدس ارومیه
ماهی فروشی رهنما رشت,ماهی فرهوشی رهنما تشت
پل رسالت بندرعباس,پر رسالت بندرعباس
فاصله مسجد ابوالفضل تا ایرانشهر,فاصله مسجد ابواالفضل تا ایرانشهر
مدرسه حسن انزلی ارومیه,مدرسه حسنی انالی ارومیه
